event,lambda_track_id,lambda_start_x_cm,lambda_start_y_cm,lambda_start_z_cm,lambda_decay_x_cm,lambda_decay_y_cm,lambda_decay_z_cm,lambda_decay_inside_active,charged_p_pi_mode,charged_daughter_start_inside,charged_daughter_end_inside,daughter_pdgs
0,2,70.7234,-48.2437,248.828,72.4711,-45.6518,251.438,yes,yes,yes,yes,2212;-211
1,20,-76.1245,-100.881,-217.353,-76.5918,-100.985,-216.62,yes,no,n/a,n/a,2112;111
1,2,-35.9227,-17.5397,-281.71,-34.1631,-15.7214,-278.67,yes,yes,yes,yes,2212;-211
2,2,-49.2453,-46.7961,-147.15,-48.8895,-44.1292,-144.713,yes,yes,yes,yes,2212;-211
3,2,-10.712,-65.1765,-142.004,-12.0062,-67.6696,-141.81,yes,no,n/a,n/a,2112;111
4,2,-12.467,-35.4743,346.168,-12.5835,-35.2442,346.564,yes,yes,yes,yes,2212;-211
5,2,-74.2327,31.814,254.651,-75.5086,21.0637,258.251,yes,no,n/a,n/a,2112;111
6,2,62.4351,23.0734,-204.651,66.1308,26.8981,-201.165,yes,yes,yes,yes,2212;-211
7,2,-66.63,62.7383,-75.941,-66.2262,64.3899,-75.0584,yes,yes,yes,yes,2212;-211
8,2,-50.6292,52.8105,354.432,-50.0754,45.5472,363.117,yes,no,n/a,n/a,2112;111;1000180400
9,2,53.9777,-15.9286,208.409,56.2458,-13.6216,209.651,yes,yes,yes,yes,2212;-211
10,2,47.6298,-50.2395,-5.02641,48.3993,-50.9531,-4.23765,yes,no,n/a,n/a,2112;111
11,2,-10.9002,-10.1376,340.886,-11.1879,-9.86385,340.949,yes,yes,yes,yes,2212;-211
12,2,48.4511,67.1114,100.255,49.4332,68.0972,103.72,yes,yes,yes,yes,2212;-211
13,2,31.976,66.1255,-35.6521,31.0578,65.5199,-33.5692,yes,no,n/a,n/a,2112;111
14,2,2.85429,-30.1301,228.417,-3.14433,-24.4481,234.948,yes,yes,yes,yes,2212;-211
15,2,50.4324,25.5221,-155.234,50.1131,23.5887,-153.988,yes,yes,yes,yes,2212;-211
16,2,69.0932,16.3435,226.381,71.6897,15.3379,227.841,yes,yes,yes,yes,2212;-211
17,2,23.4366,12.5034,-135.265,45.778,4.1608,-120.202,yes,yes,yes,yes,2212;-211
18,2,-9.52931,19.9969,-4.70682,-12.9353,26.3655,5.52382,yes,yes,yes,yes,2212;-211
19,2,28.7301,47.9433,163.109,36.2712,42.6257,166.647,yes,no,n/a,n/a,2112;111
20,2,16.6329,14.2815,271.504,26.7728,13.5872,276.325,yes,yes,yes,yes,2212;-211
21,2,-48.8956,-24.81,-314.568,-48.7807,-24.889,-314.441,yes,no,n/a,n/a,2112;111
22,2,-65.5663,-27.8947,-379.492,-65.5223,-28.0532,-379.16,yes,no,n/a,n/a,2112;111
23,2,-19.5354,-53.8137,252.59,-19.5763,-53.7421,252.628,yes,no,n/a,n/a,2112;111
24,2,56.8415,53.3307,-15.5239,58.4395,54.8063,-11.1658,yes,yes,yes,yes,2212;-211
25,2,-35.6991,-10.6662,160.987,-36.6361,-14.7697,166.031,yes,no,n/a,n/a,2112;111
26,2,55.6662,36.7853,45.7119,55.6814,36.7948,45.717,yes,no,n/a,n/a,1000180390;22;2112;22;3122
26,299,55.6814,36.7948,45.717,62.6536,37.2975,47.5491,yes,yes,yes,yes,2212;-211
27,2,-50.5681,-25.7237,-176.533,-45.9009,-34.5315,-175.808,yes,no,n/a,n/a,2112;111
28,2,-36.1954,-36.6532,-350.104,-37.4367,-36.726,-349.393,yes,no,n/a,n/a,2112;111
29,2,38.8411,-66.632,-177.139,41.1331,-68.2888,-176.346,yes,no,n/a,n/a,2112;111
30,2,27.8958,-62.1908,-305.616,29.1377,-61.23,-305.477,yes,no,n/a,n/a,1000170370;22;22;2212;2112;2212;3112
31,2,-61.2335,-55.565,332.153,-59.846,-53.0999,341.44,yes,no,n/a,n/a,2112;111
32,2,-21.6833,14.4378,-125.732,-19.7726,14.4087,-124.228,yes,yes,yes,yes,2212;-211
33,2,68.9468,-14.5741,-227.27,64.2343,-17.1751,-222.389,yes,yes,yes,yes,2212;-211
34,2,56.8569,-47.8513,325.911,65.025,-43.5725,328.41,yes,no,n/a,n/a,2112;111
35,2,48.4737,-19.1447,253.331,48.3732,-19.4567,253.672,yes,no,n/a,n/a,2112;111
36,2,-67.0026,-21.4632,-38.1334,-67.3423,-19.7314,-36.2678,yes,yes,yes,yes,2212;-211
37,2,-32.4876,4.33215,-152.662,-34.8592,4.33489,-152.043,yes,no,n/a,n/a,2112;111
38,2,-56.4581,35.3483,-358.083,-56.221,35.8672,-356.835,yes,yes,yes,yes,2212;-211
39,2,62.6361,-45.705,255.197,62.2997,-45.6796,255.385,yes,yes,yes,yes,2212;-211
40,2,61.6457,-32.1701,31.1148,61.0395,-31.5891,31.9296,yes,yes,yes,yes,2212;-211
41,2,-15.3359,18.1273,97.9211,-15.305,18.1569,97.9283,yes,yes,yes,yes,2212;-211
42,2,-40.7035,-5.17222,44.9538,-45.1456,-10.9279,45.551,yes,no,n/a,n/a,2112;111
43,2,4.40524,40.9578,112.064,23.3193,36.3407,120.752,yes,no,n/a,n/a,2112;111
44,2,62.7931,30.4563,-145.89,62.0262,29.4103,-145.326,yes,no,n/a,n/a,2112;111
45,2,-12.0952,21.9389,-146.564,-11.9678,14.5396,-145.176,yes,yes,yes,yes,2212;-211
46,2,20.4554,-26.8334,-280.864,27.3949,-20.4374,-279.977,yes,yes,yes,yes,2212;-211
47,2,-35.669,-45.0812,374.434,-34.627,-44.3458,375.432,yes,no,n/a,n/a,1000180370;2112;22;22;22;2112;2112;3122
47,3,-34.627,-44.3458,375.432,-34.6022,-44.0813,375.602,yes,yes,yes,yes,2212;-211
48,2,23.2214,-26.9404,15.6999,23.4352,-30.1779,16.9034,yes,no,n/a,n/a,2112;111
49,2,-77.7871,7.18877,341.825,-77.5645,6.6863,342.151,yes,yes,yes,yes,2212;-211
50,2,54.7713,-54.751,-266.868,56.2336,-54.7133,-266.731,yes,no,n/a,n/a,2112;111
